Nave,Eta,Doc.Entrega,Pos.Entrega,VOLUM_ENTREGA,UMV,Material,FPE,FPAN,Status Movimiento de Mcía,Descripcion Material
MAERSK KENDAL,2012-11-26,802717361,10,13.105,M3,502894,2012-08-20,2012-11-29,C,"Ply CpD WBP 2400x1200x6,5 S2S"
MAERSK KENDAL,2012-11-26,802717361,20,33.18,M3,502888,2012-08-20,2012-11-29,C,Ply CpD WBP 2400x1200x12 S2S
MAERSK KENDAL,2012-11-26,802717361,20,33.18,M3,502888,2012-08-20,2012-11-29,C,Ply CpD WBP 2400x1200x12 S2S
MSC MADELEINE,2012-11-08,802741847,10,34.188,M3,705186,2012-07-11,2012-11-05,C,TRU LI 2440x1220x11/1RA/CO87
MSC MADELEINE,2012-11-08,802741847,20,2.947,M3,505120,2012-07-11,2012-11-05,C,RAN L LAQ BCO LS H 2440x1220x18/1RA/CS55
MSC MADELEINE,2012-11-08,802741847,30,2.724,M3,747737,2012-07-11,2012-11-05,C,TRU LI 2440x1220x15/2DA/NA61
CSAV PARIS,2012-11-02,802758710,10,2.706,M3,505156,2012-09-23,2012-10-30,C,TRU LI 2440x1220x9/1RA/CO101
CSAV PARIS,2012-11-02,802758710,20,10.86,M3,747704,2012-09-23,2012-10-30,C,TRU LI 2440x1220x12/1RA/CO76
CSAV PARIS,2012-11-02,802758710,30,10.896,M3,747732,2012-09-23,2012-10-30,C,TRU LI 2440x1220x15/1RA/CO61
CSAV PARIS,2012-11-02,802758710,40,5.358,M3,747742,2012-09-23,2012-10-30,C,TRU LI 2440x1220x18/1RA/CO50
CSAV PARIS,2012-11-02,802758710,40,5.358,M3,747742,2012-09-23,2012-10-30,C,TRU LI 2440x1220x18/1RA/CO50
CSAV PARIS,2012-11-02,802758710,50,8.841,M3,503656,2012-09-23,2012-10-30,C,MNA U BCO SOFT 1C 2440x1220x18/1RA/CO55
CSAV PARIS,2012-11-02,802763532,10,38.311,M3,503596,2012-09-12,2012-11-01,C,MNA L BCO LISO 2C 2440x1220x15/1RA/CO66
CSAV PARIS,2012-11-02,802763561,10,38.752,M3,747736,2012-08-22,2012-10-28,C,TRU LI 2440x1220x15/1RA/CO62
MSC MADELEINE,2012-11-08,802766600,10,44.24,M3,502062,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x12 S2S
MSC MADELEINE,2012-11-08,802766606,10,44.24,M3,502062,2012-11-27,2012-11-08,C,Ply BC WBP 2400x1200x12 S2S
E.R.DALLAS,2012-11-19,802766611,10,44.928,M3,502069,2012-10-01,2012-11-15,C,Ply BC WBP 2400x1200x15 S2S
CSAV PARIS,2012-11-02,802786132,10,13.53,M3,505156,2012-10-14,2012-10-30,C,TRU LI 2440x1220x9/1RA/CO101
CSAV PARIS,2012-11-02,802786132,20,10.86,M3,747704,2012-10-14,2012-10-30,C,TRU LI 2440x1220x12/1RA/CO76
CSAV PARIS,2012-11-02,802786132,30,8.172,M3,747732,2012-10-14,2012-10-30,C,TRU LI 2440x1220x15/1RA/CO61
CSAV PARIS,2012-11-02,802786132,40,4.06,M3,505231,2012-10-14,2012-10-30,C,"TRU ST 2440x1220x5,5/1RA/CO124"
SEROJA ENAM,2012-11-22,802786135,10,2.03,M3,505231,2012-11-10,2012-11-20,C,"TRU ST 2440x1220x5,5/1RA/CO124"
SEROJA ENAM,2012-11-22,802786135,20,10.824,M3,505156,2012-11-10,2012-11-20,C,TRU LI 2440x1220x9/1RA/CO101
SEROJA ENAM,2012-11-22,802786135,30,16.29,M3,747704,2012-11-10,2012-11-20,C,TRU LI 2440x1220x12/1RA/CO76
SEROJA ENAM,2012-11-22,802786135,40,8.172,M3,747732,2012-11-10,2012-11-20,C,TRU LI 2440x1220x15/1RA/CO61
SEROJA ENAM,2012-11-22,802786139,10,13.53,M3,505156,2012-11-25,2012-11-22,C,TRU LI 2440x1220x9/1RA/CO101
SEROJA ENAM,2012-11-22,802786139,20,16.29,M3,747704,2012-11-25,2012-11-22,C,TRU LI 2440x1220x12/1RA/CO76
SEROJA ENAM,2012-11-22,802786139,30,8.172,M3,747732,2012-11-25,2012-11-22,C,TRU LI 2440x1220x15/1RA/CO61
MAERSK KENDAL,2012-11-26,802808671,10,43.136,M3,900529,2012-10-31,2012-11-29,C,Ply BC WBP 2400x1200x18 S2S G&G-T F8 ch
CSAV PARIS,2012-11-02,802808691,10,44.784,M3,502076,2012-11-15,2012-11-03,C,Ply BC WBP 2400x1200x18 S2S
E.R.DALLAS,2012-11-19,802808714,10,27.99,M3,502895,2012-10-28,2012-11-19,C,Ply CpD WBP 2400x1200x9 S2S
E.R.DALLAS,2012-11-19,802808714,20,16.794,M3,502890,2012-10-28,2012-11-19,C,Ply CpD WBP 2400x1200x18 S2S
MSC MADELEINE,2012-11-08,802813022,10,20.968,M3,502894,2012-10-31,2012-11-08,C,"Ply CpD WBP 2400x1200x6,5 S2S"
MSC MADELEINE,2012-11-08,802813022,20,11.196,M3,502895,2012-10-31,2012-11-08,C,Ply CpD WBP 2400x1200x9 S2S
MSC MADELEINE,2012-11-08,802813022,30,5.392,M3,764457,2012-10-31,2012-11-08,C,Ply BC WBP 2400x1200x12 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813022,40,5.356,M3,764455,2012-10-31,2012-11-08,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813023,10,43.136,M3,764457,2012-11-24,2012-11-14,C,Ply BC WBP 2400x1200x12 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813024,10,42.848,M3,764455,2012-11-24,2012-11-14,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
MSC MADELEINE,2012-11-08,802813025,10,42.848,M3,764455,2012-11-24,2012-11-14,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
CSAV PARIS,2012-11-02,802813029,10,2.621,M3,502098,2012-11-14,2012-11-02,C,"Ply BC WBP 2400x1200x6,5 S2S"
CSAV PARIS,2012-11-02,802813029,20,2.799,M3,502102,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x9 S2S
CSAV PARIS,2012-11-02,802813029,30,8.295,M3,502062,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x12 S2S
CSAV PARIS,2012-11-02,802813029,40,8.397,M3,502076,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S
CSAV PARIS,2012-11-02,802813029,50,8.088,M3,764452,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x18 S2S F8 FA ch
CSAV PARIS,2012-11-02,802813029,60,6.695,M3,764455,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x15 S2S F8 FA ch
CSAV PARIS,2012-11-02,802813029,70,6.74,M3,764457,2012-11-14,2012-11-02,C,Ply BC WBP 2400x1200x12 S2S F8 FA ch
MAERSK KENDAL,2012-11-26,802818112,1,11.788,M3,803808,2012-10-02,2012-11-07,C,TRU UL CARB II 2440x1220x18/1RA/CO55
MAERSK KENDAL,2012-11-26,802818112,2,9.114,M3,915925,2012-10-02,2012-11-07,C,TRU UL CARB II 2465x1245x18/1RA/CO55
MAERSK KENDAL,2012-11-26,802818112,3,14.825,M3,803807,2012-10-02,2012-11-07,C,TRU UL CARB II 2440x1220x12/1RA/CO83
MAERSK KENDAL,2012-11-26,802818112,4,3.684,M3,803811,2012-10-02,2012-11-07,C,TRU UL CARB II 3050x1220x18/1RA/CO55
MAERSK KENDAL,2012-11-26,802818112,5,2.977,M3,803795,2012-10-02,2012-11-07,C,TRU UL CARB II 2440x1220x25/1RA/CO40
AS CATALANIA,2012-11-21,802822094,10,32.615,M3,503608,2012-11-06,2012-11-08,C,MNA L BCO SOFT 2C 2440x1220x12/1RA/CO83
AS CATALANIA,2012-11-21,802822094,20,73.675,M3,503609,2012-11-06,2012-11-08,C,MNA L BCO SOFT 2C 2440x1220x15/1RA/CO66
CAP MORETON,2012-11-28,802822097,10,29.65,M3,503608,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x12/1RA/CO83
CAP MORETON,2012-11-28,802822097,10,29.65,M3,503608,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x12/1RA/CO83
CAP MORETON,2012-11-28,802822097,20,41.258,M3,503609,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x15/1RA/CO66
CAP MORETON,2012-11-28,802822097,20,41.258,M3,503609,2012-12-06,2012-11-29,C,MNA L BCO SOFT 2C 2440x1220x15/1RA/CO66
CSAV SUAPE,2012-11-20,802822203,20,5.412,M3,505156,2012-10-11,2012-11-15,C,TRU LI 2440x1220x9/1RA/CO101
CSAV SUAPE,2012-11-20,802822203,30,8.145,M3,747704,2012-10-11,2012-11-15,C,TRU LI 2440x1220x12/1RA/CO76
CSAV SUAPE,2012-11-20,802822203,30,8.145,M3,747704,2012-10-11,2012-11-15,C,TRU LI 2440x1220x12/1RA/CO76
CSAV SUAPE,2012-11-20,802822203,40,19.068,M3,747732,2012-10-11,2012-11-15,C,TRU LI 2440x1220x15/1RA/CO61
CSAV SUAPE,2012-11-20,802822203,60,2.679,M3,747742,2012-10-11,2012-11-15,C,TRU LI 2440x1220x18/1RA/CO50
CSAV SUAPE,2012-11-20,802822203,70,2.03,M3,505231,2012-10-11,2012-11-15,C,"TRU ST 2440x1220x5,5/1RA/CO124"
SEROJA ENAM,2012-11-22,802824062,10,11.572,M3,502241,2012-09-10,2012-11-21,C,Ply BC WBP 2440x1220x9 S2S
SEROJA ENAM,2012-11-22,802824062,20,8.424,M3,502615,2012-09-10,2012-11-21,C,Ply CD WBP 2400x1200x15 US
SEROJA ENAM,2012-11-22,802824062,30,22.392,M3,502928,2012-09-10,2012-11-21,C,Ply MU WBP 2400x1200x18 S2S Ex
SEROJA ENAM,2012-11-22,802824062,40,2.893,M3,739960,2012-09-10,2012-11-21,C,Ply CpD WBP 2440x1220x9 S2S PR Ex
MSC ROMANOS,2012-11-09,802824230,10,36.24,M3,938514,2012-09-30,2012-11-05,C,MNA P 031-RDK-WEN FF 2500x1830x15/1/C44
MSC ROMANOS,2012-11-09,802824237,10,36.24,M3,938514,2012-09-30,2012-11-05,C,MNA P 031-RDK-WEN FF 2500x1830x15/1/C44
CSAV PARIS,2012-11-02,802824247,10,37.548,M3,938513,2012-09-30,2012-11-03,C,MNA P 135-BCO FF 2500x1830x18/1/C38
MSC KYOTO,2012-11-13,802824642,1,18.69,M3,937897,2012-10-01,2012-11-07,C,TRU UL CARB II 2465x1245x15/1RA/CO58
MSC KYOTO,2012-11-13,802824642,2,18.096,M3,803800,2012-10-01,2012-11-07,C,TRU UL CARB II 2447x1245x18/1RA/CO55
MSC KYOTO,2012-11-13,802824642,2,18.096,M3,803800,2012-10-01,2012-11-07,C,TRU UL CARB II 2447x1245x18/1RA/CO55
MSC KYOTO,2012-11-13,802824642,3,5.206,M3,803823,2012-10-01,2012-11-07,C,TRU UL CARB II 2440x1524x25/1RA/CO28
CSAV PARIS,2012-11-02,802830714,10,44.784,M3,502076,2012-11-15,2012-11-03,C,Ply BC WBP 2400x1200x18 S2S
MSC MADELEINE,2012-11-08,802830716,10,10.484,M3,502894,2012-10-31,2012-11-08,C,"Ply CpD WBP 2400x1200x6,5 S2S"
