Clase;Lote;Fecha_de_Creacion;UMB;Centro;Desc_Centro;Almacen;Desc_Alm;Material;Desc_Mat;Vol_Util;Vol_Tran;Bloqueado;Jerarquia;Desc_Jer;Grpo_Art;Descrip_Grpo_Art;Clasedevaloracion;M3;STATUS;NRO_ENTREGA;POS_ENTREGA;FCH_CREACION;DEFECTO;ESP_REAL_MM;ANC_REAL_MM
TA_PLYWOOD;1001556941;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001556937;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001557037;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001557040;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001557366;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988959;000001;;;;;
TA_PLYWOOD;1001557367;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988959;000001;;;;;
TA_PLYWOOD;1001556936;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001556934;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001556588;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
TA_PLYWOOD;1001556586;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984048;000001;;;;;
